Title,Brand,Model,Price/Sq ft.,Price/Case,Store Pick Stock,Ship to Home Stock,Schedule Delivery Stock
Woodland Ashen Estate 7.13 in. W x 48.03 in. L Rigid Core Luxury Vinyl Plank Flooring (23.77 sq. ft. / case),MSI,Model #HD-LVR5012-0010,$2.69,$63.94,Null,Null,Null
7 in. W x 48 in. Woodland Beach Break Click Lock Rigid Core Luxury Vinyl Plank Flooring (23.77 sq. ft./case),Home Decorators Collection,Model #VTRHDBEABRE7X48,$2.19,$52.05,Null,Null,Null
Woodland Beaufort Birch 7.13 in. W x 48.03 in. L Rigid Core Luxury Vinyl Plank Flooring (23.8 sq. ft. / case),MSI,Model #HD-LVR5012-0008,$2.79,$66.32,Null,Null,Null
Woodland Benson 7.13 in. W x 48.03 in. L Click Lock Luxury Vinyl Plank Flooring (23.77 sq. ft./Case),MSI,Model #HD-LVR5012-0030,$2.79,$66.32,Null,Null,Null
Woodland Brant 7.13 in. W x 48.03 in. L Lake Click Lock Luxury Vinyl Plank Flooring (23.77 sq. ft./Case),MSI,Model #HD-LVR5012-0032,$1.98,$47.00,Null,Null,Null
Woodland Brookmere 7.75 in. W x 48.75 in. Rigid Core Click Lock Luxury Vinyl Plank Flooring (23.77 sq. ft./Case),MSI,Model #HD-LVR5012-0041,$2.59,$61.61,Null,Null,Null
7.13 in. W x 48.03 in. L Woodland Canopy Island Click Lock Luxury Vinyl Plank Flooring (23.77 sq. ft./case),MSI,Model #HD-LVR5012-0036,$2.79,$66.32,Null,Null,Null
Woodland Centennial Ash 7.13 in. W x 48.03 in. L Rigid Core Click Lock Luxury Vinyl Plank Flooring (23.8 sq. ft./case),MSI,Model #HD-LVR5012-0009,$2.79,$66.32,Null,Null,Null
Woodland Dove Oak 7.13 in. W x 48.03 L in. Rigid Core Luxury Vinyl Plank Flooring (23.77 sq. ft. /Case),Home Decorators Collection,Model #HD-LVR5012-0006,$2.79,$66.32,Null,Null,Null
Woodland Flaxwood 7.13 in. W x 48.03 in. L Click Lock Luxury Vinyl Plank Flooring (23.77 sq. ft./Case),MSI,Model #HD-LVR5012-0033,$2.59,$61.61,Null,Null,Null
Woodland Forrest Brown 7.13 in. W x 48.03 in. L Rigid Core Luxury Vinyl Plank Flooring (23.8 sq. ft. / case),MSI,Model #HD-LVR5012-0005,$2.79,$66.32,Null,Null,Null
7.13 in. W x 48.03 in. L Woodland Harlow Fog Rigid Core Click Lock Luxury Vinyl Plank Flooring (23.77 sq. ft./case),MSI,Model #HD-LVR5012-0040,$2.59,$61.61,Null,Null,Null
Woodland Hickory Lake 7.13 in. W x 48.03 in. L Rigid Core Luxury Vinyl Plank Flooring (23.8 sq. ft. / case),MSI,Model #HD-LVR5012-0014,$2.79,$66.32,Null,Null,Null
Woodland Highland Grove 7.13 in. W x 48.03 in. L Rigid Core Luxury Vinyl Plank Flooring (23.8 sq. ft. / case),MSI,Model #HD-LVR5012-0013,$2.79,$66.32,Null,Null,Null
Woodland Hoffman Gray 7.13 in. W x 48.03 in. L Click Lock Luxury Vinyl Plank Flooring (23.77 sq. ft./Case),MSI,Model #HD-LVR5012-0034,$2.51,$59.68,Null,Null,Null
7.13 in. W x 48.03 in. L Woodland Irish Hound Click Lock Luxury Vinyl Plank Flooring (23.77 sq. ft./case),MSI,Model #HD-LVR5012-0039,$2.79,$66.32,Null,Null,Null
7.13 in. W x 48.03 in. L Woodland Moses Lake Click Lock Luxury Vinyl Plank Flooring (23.77 sq. ft./case),MSI,Model #HD-LVR5012-0038,$2.59,$61.61,Null,Null,Null
Woodland Mystic Gray 7.13 in. W x 48.03 in. L Rigid Core Luxury Vinyl Plank Flooring (23.8 sq. ft. / case),MSI,Model #HD-LVR5012-0015,$2.79,$66.32,Null,Null,Null
7.13 in. W x 48.03 in. L Woodland Palmia Rigid Core Click Lock Luxury Vinyl Plank Flooring (23.77 sq. ft./Case),MSI,Model #VTRWOOPAL7X48,$3.49,$82.93,164,Null,Null
Woodland Ripton 7.13 in. W x 48.03 in. L Click Lock Luxury Vinyl Plank Flooring (23.77 sq. ft./Case),MSI,Model #HD-LVR5012-0031,$2.79,$66.32,Null,Null,Null
Woodland Rustic Pecan 7.13 in. W x 48.03 in. L Rigid Core Luxury Vinyl Plank Flooring (23.77 sq. ft. /Case),MSI,Model #HD-LVR5012-0011,$2.79,$66.32,Null,Null,Null
Woodland Salvaged Forest 7.13 in. W x 48.03 in. L Rigid Core Luxury Vinyl Plank Flooring (23.77 sq. ft./case),MSI,Model #HD-LVR5012-0004,$2.79,$66.32,Null,Null,Null
Woodland Sunderland 7.13 in. W x 48.03 in. L Rigid Core Click Lock Luxury Vinyl Plank Flooring (23.77 sq. ft./Case),MSI,Model #HD-LVR5012-0035,$2.79,$66.32,Null,Null,Null
Woodland Urban Oak 7.13 in. W x 48.03 in. L Rigid Core Luxury Vinyl Plank Flooring (23.8 sq. ft. / case),MSI,Model #HD-LVR5012-0012,$2.79,$66.32,Null,Null,Null
Woodland Walnut Drift 7 in. x 48 in. Rigid Core Click Lock Luxury Vinyl Plank Flooring (23.77 sq. ft./case),MSI,Model #HD-LVR5012-0007,$2.29,$54.50,Null,Null,Null
